license_numbers,premise_address,_id,name_of_license,business_name,latitude,longitude,postal_code
SW16815P000,"500 OLD CHOA CHU KANG ROAD, #01-02, S(698928)",97,PHAN NEE INVESTMENTS (S) PTE. LTD.,-,1.37376143663764,103.721557394479,698928
SW16856V000,"1 JALAN PAPAN, #01-29, S(619392)",98,ARCHANA SUPERMARKET PTE. LTD.,ARCHANA SUPERMARKET,1.32087635946694,103.727545977964,619392
CE15F60K000,"22 DEMPSEY ROAD 1st & 2nd storey, S(249679)",242,HUBER'S PTE. LTD.,HUBER'S,1.30679240314535,103.810185814417,249679
SW16901A000,"12 TUAS SOUTH STREET 13, #01-20/21, S(636937)",99,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,SADIA SUPERMARKET & TRADING ,1.27019585421212,103.634479625194,636937
SW16921N000,"1 JALAN PAPAN, #01-35, S(619392)",100,CHENNAI TRADING & SUPERMART PTE. LTD.,CHENNAI TRADING & SUPERMARKET,1.32087635946694,103.727545977964,619392
C02034X000,"587 BUKIT TIMAH ROAD CORONATION PLAZA, S(269707)",109,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.32367550486167,103.810234388173,269707
C02035P000,"451 CLEMENTI AVENUE 3, #01-307, S(120451)",110,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.31248109025097,103.765476495005,120451
C02036N000,"1 JALAN ANAK BUKIT, #B1-01 BUKIT TIMAH PLAZA, S(588996)",111,NTUC FAIRPRICE CO-OPERATIVE LTD,FINEST,1.33865677622928,103.778560467143,588996
C02037L000,"135 JURONG EAST STREET 13, #01-337, S(600135)",112,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.333825407445,103.739676885744,600135
C02038K000,"1 JURONG WEST CENTRAL 2, #B1-09 JURONG POINT, S(648886)",113,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.3394520043632,103.706685012926,648886
C02040A000,"63/66 YUNG KUANG ROAD #01-119/02-119, S(610063)",114,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.33221398206902,103.722691571538,610063
C02041V000,"399 YUNG SHENG ROAD #01-43A & 01-35, S(610399)",115,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.3350420286067,103.72026802061,610399
C02046K000,"1 BUKIT BATOK CENTRAL LINK, #B1-01 WEST MALL, S(658713)",116,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.35018916560505,103.749021976618,658713
C02047J000,"345 CLEMENTI AVENUE 5, #01-78, S(120345)",117,U STARS SUPERMARKET PTE. LTD.,U STARS SUPERMARKET,1.31770281154049,103.769076731999,120345
