year_completed,multigen_sold,bldg_contract_town,multistorey_carpark,street,total_dwelling_units,blk_no,exec_sold,max_floor_lvl,residential,1room_sold,precinct_pavilion,other_room_rental,5room_sold,3room_sold,commercial,4room_sold,miscellaneous,studio_apartment_sold,2room_rental,2room_sold,1room_rental,3room_rental,market_hawker,_id
1983,0,TP,N,POTONG PASIR AVE 1,167,102,3,16,Y,0,N,0,0,144,Y,20,Y,0,0,0,0,0,N,157
2001,0,PG,N,PUNGGOL FIELD,0,102,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,158
1998,0,SK,N,RIVERVALE WALK,129,102,129,17,Y,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,159
1984,0,SGN,N,SERANGOON NTH AVE 1,24,102,0,4,Y,0,N,0,0,16,N,8,N,0,0,0,0,0,N,160
1988,0,TAP,N,SIMEI ST 1,100,102,0,11,Y,0,N,0,36,0,N,64,Y,0,0,0,0,0,N,161
1973,0,BM,N,SPOTTISWOODE PK RD,76,102,0,20,Y,0,N,0,0,0,Y,76,N,0,0,0,0,0,N,162
1982,0,TAP,N,TAMPINES ST 11,140,102,0,11,Y,0,N,0,0,90,N,50,N,0,0,0,0,0,N,163
1988,0,CCK,N,TECK WHYE LANE,64,102,0,9,Y,0,N,0,28,0,N,36,N,0,0,0,0,0,N,164
1983,0,KWN,N,TOWNER RD,36,102,0,4,Y,0,N,0,0,36,Y,0,N,0,0,0,0,0,N,165
1984,0,WL,N,WOODLANDS ST 13,110,102,0,12,Y,0,N,0,0,65,N,45,Y,0,0,0,0,0,N,166
1984,0,YS,N,YISHUN AVE 5,0,102,0,4,N,0,N,0,0,0,Y,0,N,0,0,0,0,0,N,167
2020,0,TP,N,BIDADARI PK DR,205,102A,0,16,Y,0,Y,0,0,0,N,139,N,0,0,66,0,0,N,168
2019,0,SB,N,CANBERRA ST,190,102A,0,17,Y,0,N,0,96,0,N,94,N,0,0,0,0,0,N,169
2016,0,BM,N,DEPOT RD,114,102A,0,21,Y,0,N,0,0,0,N,0,Y,75,0,39,0,0,N,170
2001,0,PG,N,PUNGGOL FIELD,85,102A,0,17,Y,0,N,0,57,0,N,28,N,0,0,0,0,0,N,171
1997,0,SK,Y,RIVERVALE WALK,0,102A,0,5,N,0,N,0,0,0,N,0,N,0,0,0,0,0,N,172
2020,0,TP,N,BIDADARI PK DR,200,102B,0,16,Y,0,N,0,0,52,N,148,N,0,0,0,0,0,N,173
2019,0,SB,N,CANBERRA ST,210,102B,0,16,Y,0,N,0,0,30,N,0,N,0,0,180,0,0,N,174
2001,0,PG,N,PUNGGOL FIELD,86,102B,0,17,Y,0,N,0,86,0,N,0,N,0,0,0,0,0,N,175
2020,0,SB,N,CANBERRA ST,0,102C,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,176
2000,0,PG,N,PUNGGOL FIELD,92,102C,0,17,Y,0,N,0,92,0,N,0,N,0,0,0,0,0,N,177
2001,0,PG,N,PUNGGOL FIELD,82,102D,0,16,Y,0,N,0,56,0,N,26,N,0,0,0,0,0,N,178
1981,0,KWN,N,AH HOOD RD,96,103,0,25,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,179
1977,0,GL,N,ALJUNIED CRES,154,103,0,12,Y,0,N,0,0,0,N,0,N,0,154,0,0,0,N,180
1977,0,AMK,N,ANG MO KIO AVE 3,131,103,0,12,Y,0,N,0,1,97,N,33,Y,0,0,0,0,0,N,181
1976,0,BD,N,BEDOK NTH AVE 4,154,103,2,14,Y,0,N,0,0,126,N,26,Y,0,0,0,0,0,N,182
1985,0,BD,N,BEDOK RESERVOIR RD,154,103,0,12,Y,0,N,0,0,88,Y,66,N,0,0,0,0,0,N,183
1986,0,BH,N,BISHAN ST 12,92,103,8,25,Y,0,N,0,84,0,N,0,N,0,0,0,0,0,N,184
1984,0,BB,N,BT BATOK CTRL,96,103,0,13,Y,0,N,0,48,4,N,44,Y,0,0,0,0,0,N,185
1982,0,BM,N,BT PURMEI RD,119,103,0,11,Y,0,N,0,1,68,Y,50,N,0,0,0,0,0,N,186
1964,0,QT,N,C'WEALTH CRES,99,103,0,10,Y,0,N,0,0,0,N,0,N,0,99,0,0,0,N,187
2020,0,SB,N,CANBERRA ST,0,103,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,188
1984,0,CL,N,CLEMENTI ST 14,104,103,0,14,Y,0,N,0,86,0,N,18,N,0,0,0,0,0,N,189
2001,0,PG,N,EDGEFIELD PLAINS,0,103,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,190
1986,0,BP,N,GANGSA RD,26,103,0,4,Y,0,N,0,0,19,Y,7,N,0,0,0,0,0,N,191
1967,0,BM,N,HENDERSON CRES,140,103,0,14,Y,0,N,0,0,0,N,140,N,0,0,0,0,0,N,192
1983,0,HG,N,HOUGANG AVE 1,81,103,0,13,Y,0,N,0,51,0,N,30,N,0,0,0,0,0,N,193
1983,0,KWN,N,JLN RAJAH,144,103,0,25,Y,0,N,0,96,0,N,48,N,0,0,0,0,0,N,194
1982,0,JE,N,JURONG EAST ST 13,96,103,0,25,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,195
